"id","make","model","vin","year","serialNum"
"50717571","Peterbuilt",,"1XP5DB9X82N584688","2002","87A032060264"
"50717586","Kenworth","T680","1XKYDP9X3MJ468390","2021","87B011100056"
"50717591","PETERBUILT",,"1XPBDP9X1LD649694","2020","87B012990069"
"50717592","Peterbilt","578","1XPBD49X9KD603558","2019","87A022900160"
"52422352","KW","TRACTOR","1XKYD49X7GJ475779","2016","87A013630112"
"52457009","KENWORTH",,"1XKYDP9X3GJ468426","2016","4C4000039382"
"52457012","Peterbilt",,"1XP5DB9X36D876289","2006","87A102900138"
"52457017","KW","T680","1XKYDP9X3NJ172643","2022","4C4000040338"
"52457025",,,"1XKYDP9X5JJ215227",NULL,"87A022900223"
"53369610","Peterbilt","579","1XPBDP9X5KD601372","2019","87A032060003"
"53521153","KENW",,"1XKYD49XXFJ444959","2015","87A032790220"
"53521157","KENWORTH","T680","1XKYDP9XXNJ172641","2022","4C4000039575"
