"id","make","model","vin","year","serialNum"
"6989800","KENWORTH","T680","1XKYD49X3RJ339992","2024","87B013080465"
"6989801","KENWORTH","T680","1XKYD49X9RJ339995","2024","87B010210152"
"6989803","KENWORTH","T680","1XKYDP9X6RJ339955","2024","87B013080474"
"6994007","KENWORTH","T680","1XKYD49X7RJ339994","2024","87B030330454"
"6994008","KENWORTH",,"1XKYDP9X8RJ339956","2024","87B030330487"
"6994009","KENWORTH","T680","1XKYDP9XXRJ339957","2024","87B030330496"
"6994010","KENWORTH","T680","1XKYDP9X1RJ339958","2024","87B030330489"
"6994012","KENWORTH","T680","1XKYD49X5RJ339993","2024","87B030330482"
"6994013","KENWORTH","T680","1XKYDP9XXPJ218861","2023","87B030330499"
"6994014","KENWORTH","T680","1XKYDP9XXNJ145844","2022","87B112170100"
"6994015","KENWORTH","T680","1XKYD49X0RJ339996","2024","87B030330493"
"6994017","KENWORTH",,"1XKWD49X2PR265373","2023","87B013080251"
"7016814","Kenworth",,"1XKYD49X6KJ247295","2019","87B031110005"
"7193610","PTRB",,"1XPBDP9X1PD884277","2023","87B030590417"
"7193618","KW","T680","1XKYDP9X4PJ251127","2023","87B010690174"
"7193620","Peterbilt",,"1XPBD49X2PD837158","2023","87B010690086"
"7193621","PETERBILT","579","1XPBD49X0PD837160","2023","87B010690212"
"7193622","KENWORTH",,"1XKYDP9X0PJ237306","2023","87B010690009"
"7193623","KENWORTH",,"1XKYDP9X0PJ237015","2023","87B010690098"
"7193624","KENWORTH",,"1XKYDP9XXPJ237023","2023","87B010690136"
"7193626","KENWORTH",,"1XKYDP9X7PJ237304","2023","87B013080480"
"7193627","KENWORTH",,"1XKYDP9X9PJ237305","2023","87B013080201"
"7193628","KENWORTH",,"1XKYDP9X4PJ237308","2023","87B013080478"
"7193629","Kenworth","T680","1XKYDP9X0PJ237290","2023","87B013080409"
"7193635","Kenworth","T680","1XKYDP9X4RJ339954","2024","87B030330434"
"7193636","KENWORTH","T680","1XKYDP9X2RJ339953","2024","87B030330429"
"7570218","Peterbilt","579","1XPBDP9X0KD604924","2019","87B010690835"
"7680911","PTRB","TR","1XPBD49X1KD226479","2019","87B010620353"
"7808781","KWT680",,"1XKYDP9X5PJ253131","2023","87B010620310"
"7808785","KW",,"1XKYDP9XXHJ148103","2017","87B112240023"
"8171211",,"Peterbilt","1XPBDP9X7ND836599","2023","87B010690629"
"8171218","Kenworth","T680","1XKYD49XXHJ132157","2017","88A110740096"
"8171235","Kenworth","T680","1XKYD49X5HJ152784","2017","87B010690635"
"8171236","Kenworth","T680","1XKYD49X1HJ166472","2017","87B010210049"
"8171239","Kenworth","T680","1XKYDP9X1EJ366457","2014","87A102380167"
"8181659","Kenworth","T680","1XKYDP9X4JJ189588","2018","87B030600409"
"8415318","FREIGHTLINER","TR","1XPBDP9X1JD364149","2023","87B010400078"
"8872033","KW",,"1XKWD49X3NR477079","2022","87B010620433"
"9543615","KW",,"1XKYAP9X3EJ386847","2014","87B030600232"
"9730257","KENWORTH","T680","1XKYDP9XXNJ154317","2022","87B010210087"
"9730263","Kenworth","T680","1XKYDP9X1MJ470767","2021","87B010210088"
"9730264","Kenworth","T680","1XKYDP9X8NJ154316","2022","4C4000039170"
"9730265","Kenworth","T680","1XKYDP9X7PJ253129","2023","87B010690234"
"9730267","Kenworth","T680","1XKYD49XXJJ211477","2018","87B010210168"
"9730268","Kenworth","T680","1XKYDP9X5PJ253128","2023","87B010120024"
"9730269","Peterbilt","579","1XPBD49X5PD858957","2023","87B013130039"
"9730270","Kenworth","T680 NEXT GEN","1XKYDP9X6NJ154315","2022","87B013410056"
"9730271","Kenworth","T680","1XKYDP9X7PJ253132","2023","87B010620624"
"9730282","Kenworth","T680","1XKYDP9X5MJ469511","2021","87B030330307"
"10155136","KENWORTH","T680","1XKYDP9X3PJ243715","2023","87B010390154"
"11996914",,,"1XPBD49X9PD875602",NULL,"87B030590201"
"11996918","KW","TT","1XKYDP9X0JJ180838","2018","87B030330045"
"12869857",,,"1XPBD49X0PD875603",NULL,"87B031220114"
"13674358","PETERBILT","579","1XPBD49X3PD875563","2023","87B031220104"
"13674359",,,"1XKYDP9XXNJ102752","2022","88B112080229"
"14288677","Kenworth","T680","1XKYDP9XXNJ480652","2022","88A102730065"
"14288679","KENWORTH",,"1XKYDP9X1HJ148135","2017","87B013320495"
"14657624",,,"1XPBD49X0HD414225",NULL,"87B112240036"
"14891612",,,"1XKYD49X3JJ206105",NULL,"87B031220116"
"14891655","kw",,"1XKYDP9X0HJ148224","2017","87B031220218"
"16182212","PETERBILT","579","1XPBD49X5PD855718","2023","87B101900101"
"16678760",,,"1XPCD49X9KD616735",NULL,"87B031510055"
"16678776","PETERBILT","579","1XPBDP9X7KD232255","2019","87A102380145"
"16678785","Peterbilt","579","1XPBDP9X3JD472708","2018","87A102380091"
"16678792","PETERBILT","579","1XPBDP9X8KD626959","2019","87A102380056"
"16678794","Kenworth","T680","1XKYDP9X2JJ179996","2018","88A103510051"
"16678802","PTRB",,"1XPXDP9X6JD480596","2018","87B010690096"
"17263262","PTRB",,"1XPBD49X6KD616123","2019","87B112220195"
"17263269","Kenworth","T-680","1XKYD49X9HJ153078","2017","87B031580008"
"17263286","KW","T680","1XKYDP9X3PJ238594","2023","87A032490175"
"17691558","PTRB",,"1XPBDP9XXLD678370","2020","87A032490151"
"18028857","Kenworth","T680","1XKYD49X4RJ357904","2024","87B031110032"
"18028865","PTRB",,"1XPBDP9X6LD678348","2020","87A032710051"
"18028873",,"Kenworth T680","1XKYDP9X3RJ336995","2024","87B031110007"
"18028888","KW","T680","1XKYD49X9RJ357896","2024","87B013080410"
"19097115","PTRB",,"1XPBDP9X9KD601388","2019","87B010690768"
"19400996","PTRB",,"1XPBDP9X9LD678361","2020","87A031720002"
"19401000","Kenworth","t680","1XKYD49X6RJ357905","2024","87B010390523"
"19926173","KENWORTH","T680","1XKYD49X6HJ152695","2017","87B031220192"
"19926174","KENWORTH","T680","1XKYDP9X3PJ253130","2023","87B010690145"
"19926178","PTRB",,"1XPBDP9X6LD724289","2020","87B031580050"
"19926184",,,"1XPBDP9X9PD872507",NULL,"87B030330241"
"20885959","KW",,"1XKYDP9XXJJ135602","2018","87B031510041"
"20885961","KENWORTH","T680","1XKYD49X4RJ357899","2024","87B031110022"
"20885963","KENWORTH","T680","1XKYD49X2RJ357903","2024","87B030330459"
"21135908","Kenworth",,"1XKYD49X2HJ144917","2017","87A013570095"
"21135909","PETERBILT","579","1XPBD49X9RD896632","2024","87B031110004"
"21135910","PETERBILT","579","1XPBD49X0RD896633","2024","87B031110002"
"21135917","KW",,"1XKYDP9X5RJ336996","2024","87B031110039"
"21425257","Kenworth","T680","1XKYD49X6KJ230089","2019","87B010210228"
"21698508","Kenworth","Kenworth","1XKYD49X8KJ282517","2019","87B031110017"
"21698516","PTRB",,"1XPBDP9X4LD687341","2020","87B031110035"
"22305909","PETERBILT","579","1XPBD49X0PD861023","2023","87B112240151"
"22662408","PTRB",,"1XPBDP9XXGD297978","2016","87B010280085"
"22662433","Kenworth","T680","1XKYDP9X9PJ252001","2023","87B031700062"
"22662441","KW",,"1XKYD49X3EJ398535","2014","87A013570160"
"23183207",,,"1XKYDP9X2PJ263941",NULL,"87B030330481"
"24088082","Kenworth","T680","1XKYD49X8PJ257320","2023","87A013630029"
"24650622","Peterbilt","579","1XPBDP9X2LD651101","2020","87A013570154"
"24950960","Kentworth",,"1XKYDP9X4GJ122210","2016","87B030590424"
"24950970","KW",,"1XKYD49X0RJ357897","2024","87B030330476"
"24950980","KENWORTH",,"1XKYDP9X3NJ102009","2022","87B010690171"
"25967259","KW",,"1XKYD49X9JJ196258","2018","87B010770023"
"26903915","Peterbilt","579","1XPBDP9X5JD364073","2018","87B013080307"
"27597208","PETERBILT",,"1XPBDP9X5LD687378","2020","87B013410766"
"27597213","kw",,"1XKYDP9X7KJ211861","2019","87B031700071"
